idx,title,year,poster,status,tmdb_id
1,The Truman Show,1998,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0120382.jpg,downloaded,37165
2,Snatch,2000,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0208092.jpg,downloaded,107
3,The Big Lebowski,1998,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0118715.jpg,downloaded,115
4,Life Is Beautiful,1997,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0118799.jpg,downloaded,637
5,"Lock, Stock and Two Smoking Barrels",1998,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0120735.jpg,downloaded,100
6,American Pie,1999,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0163651.jpg,downloaded,2105
7,10 Things I Hate About You,1999,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0147800.jpg,downloaded,4951
8,Notting Hill,1999,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0125439.jpg,downloaded,509
9,Meet the Parents,2000,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0212338.jpg,downloaded,1597
10,Being John Malkovich,1999,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0120601.jpg,downloaded,492
11,Liar Liar,1997,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0119528.jpg,downloaded,1624
12,There's Something About Mary,1998,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0129387.jpg,downloaded,544
13,As Good as It Gets,1997,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0119822.jpg,downloaded,2898
14,How the Grinch Stole Christmas,2000,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0170016.jpg,downloaded,8871
15,Scary Movie,2000,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0175142.jpg,downloaded,4247
16,Jerry Maguire,1996,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0116695.jpg,downloaded,9390
17,Office Space,1999,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0151804.jpg,downloaded,1542
18,Happy Gilmore,1996,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0116483.jpg,downloaded,9614
19,"Me, Myself & Irene",2000,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0183505.jpg,downloaded,2123
20,Mars Attacks!,1996,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0116996.jpg,downloaded,75
21,Big Daddy,1999,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0142342.jpg,downloaded,9032
22,You've Got Mail,1998,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0128853.jpg,downloaded,9489
23,Shakespeare in Love,1998,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0138097.jpg,downloaded,1934
24,What Women Want,2000,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0207201.jpg,downloaded,3981
