idx,title,year,poster,status,tmdb_id
1,Wicked,1998,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0120088.jpg,downloaded,44046
2,The Smokers,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0205418.jpg,downloaded,32309
3,Postmortem,1998,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0130192.jpg,downloaded,43913
4,Sorted,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0221563.jpg,downloaded,1156207
5,The Ex,1996,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0119084.jpg,downloaded,240681
6,Second Skin,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0244196.jpg,downloaded,60119
7,Six-Pack,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0221554.jpg,downloaded,5643
8,Going Off Big Time,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0241492.jpg,downloaded,26274
9,Blowback,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0201484.jpg,downloaded,129935
10,Almost Blue,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0169543.jpg,downloaded,58195
11,Striking Poses,1998,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0192638.jpg,downloaded,49058
12,White Water Fury,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0216851.jpg,downloaded,67919
13,Kate's Addiction,1999,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0190503.jpg,downloaded,50813
14,Hit & Run,1997,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0119298.jpg,downloaded,273889
15,The Last Stop,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0191242.jpg,downloaded,55026
16,Two Shades of Blue,1999,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0161029.jpg,downloaded,127483
17,14 Days to Life,1997,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0118529.jpg,downloaded,10369
18,At Dawn They Sleep,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0447604.jpg,downloaded,325594
19,The Diver,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0198434.jpg,downloaded,175545
20,Held for Ransom,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0214757.jpg,downloaded,169801
21,You're Dead...,1999,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0178997.jpg,downloaded,5282
22,The Stray,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0194410.jpg,downloaded,231204
23,The Little Girl Who Fell from the Tree,1998,,no_match,
24,Tripfall,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0176244.jpg,downloaded,89553
25,The List,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0217621.jpg,downloaded,47216
26,Credo,1997,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0117155.jpg,downloaded,169012
27,Misbegotten,1997,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0131484.jpg,downloaded,360360
28,The Pass,1998,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0144548.jpg,downloaded,149514
29,Franck Spadone,1999,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0166199.jpg,downloaded,52684
30,Twist of Fate,1998,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0153360.jpg,downloaded,223323
31,The Perfect Tenant,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0160652.jpg,downloaded,220946
32,The Secret Pact,1999,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0156859.jpg,downloaded,251544
33,BlackMale,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0132885.jpg,downloaded,44574
34,En face,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0208655.jpg,downloaded,78559
35,Deathly Compulsion,1999,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0176686.jpg,downloaded,146468
36,The Giraffe,1998,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0154870.jpg,downloaded,80436
37,The Sexy Mysterious Murders,2000,,no_poster,258377
38,Amnesia,1996,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0118608.jpg,downloaded,42070
39,Hot War,1998,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0181582.jpg,downloaded,58363
40,Sheer Passion,1998,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0148835.jpg,downloaded,364906
41,Dead Silent,1999,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0195630.jpg,downloaded,111014
42,Sweet Angel Mine,1996,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0117799.jpg,downloaded,112820
43,Requiem for Murder,1999,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0152174.jpg,downloaded,279762
44,Sweet Evil,1996,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0116306.jpg,downloaded,288684
45,Uyirile Kalanthathu,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt4971292.jpg,downloaded,264069
46,Fait Accompli,1998,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0158609.jpg,downloaded,262526
47,For Hire,1997,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0159446.jpg,downloaded,317551
48,Interlocked: Thrilled to Death,1998,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0147906.jpg,downloaded,71474
49,Double Take,1997,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0119011.jpg,downloaded,492021
50,One Good Turn,1996,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0114041.jpg,downloaded,291427
51,Long Hello and Short Goodbye,1999,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0139429.jpg,downloaded,12575
52,Water Damage,1999,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0182526.jpg,downloaded,250558
53,Kaliber Deluxe,2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0221315.jpg,downloaded,80106
54,Passage à l'acte,1996,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0117303.jpg,downloaded,159465
55,The Contract,1999,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0191911.jpg,downloaded,1018254
56,To the Limit,1997,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0127368.jpg,downloaded,46653
57,"Sleep Easy, Hutch Rimes",2000,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0222375.jpg,downloaded,73677
58,"I Love You, Baby",2000,,no_poster,2126
59,Prisoner of Love,1999,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0170454.jpg,downloaded,46945
60,Out of Control,1998,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0120779.jpg,downloaded,208195
61,The Art of Murder,1999,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0220982.jpg,downloaded,224257
62,Ladykiller,1996,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0116814.jpg,downloaded,29348
63,Lithivm,1998,posters/movies_thriller_firstgenre_1996-2025_cap500/tt0133927.jpg,downloaded,104839
